Date,Consumer Items,Values
1/1/2014,Wholemeal Bread (Per 400 Gram),2.05
1/2/2014,Wholemeal Bread (Per 400 Gram),2.05
1/3/2014,Wholemeal Bread (Per 400 Gram),2.04
1/4/2014,Wholemeal Bread (Per 400 Gram),2.04
1/5/2014,Wholemeal Bread (Per 400 Gram),2.05
1/6/2014,Wholemeal Bread (Per 400 Gram),2.05
1/7/2014,Wholemeal Bread (Per 400 Gram),2.05
1/8/2014,Wholemeal Bread (Per 400 Gram),2.05
1/9/2014,Wholemeal Bread (Per 400 Gram),2.04
1/10/2014,Wholemeal Bread (Per 400 Gram),2.05
1/11/2014,Wholemeal Bread (Per 400 Gram),2.05
1/12/2014,Wholemeal Bread (Per 400 Gram),2.05
1/1/2015,Wholemeal Bread (Per 400 Gram),2.05
1/2/2015,Wholemeal Bread (Per 400 Gram),2.05
1/3/2015,Wholemeal Bread (Per 400 Gram),2.05
1/4/2015,Wholemeal Bread (Per 400 Gram),2.05
1/5/2015,Wholemeal Bread (Per 400 Gram),2.05
1/6/2015,Wholemeal Bread (Per 400 Gram),2.05
1/7/2015,Wholemeal Bread (Per 400 Gram),2.03
1/8/2015,Wholemeal Bread (Per 400 Gram),2.02
1/9/2015,Wholemeal Bread (Per 400 Gram),2.02
1/10/2015,Wholemeal Bread (Per 400 Gram),2.02
1/11/2015,Wholemeal Bread (Per 400 Gram),2.02
1/12/2015,Wholemeal Bread (Per 400 Gram),2.02
1/1/2016,Wholemeal Bread (Per 400 Gram),2.04
1/2/2016,Wholemeal Bread (Per 400 Gram),2.04
1/3/2016,Wholemeal Bread (Per 400 Gram),2.04
1/4/2016,Wholemeal Bread (Per 400 Gram),2.04
1/5/2016,Wholemeal Bread (Per 400 Gram),2.04
1/6/2016,Wholemeal Bread (Per 400 Gram),2.02
1/7/2016,Wholemeal Bread (Per 400 Gram),2.04
1/8/2016,Wholemeal Bread (Per 400 Gram),2.03
1/9/2016,Wholemeal Bread (Per 400 Gram),2.04
